"","Value","Std. Error","t value"
"(Intercept)",-31.5495148998253,0.690359818130078,-45.700103150964
"prcp",28.1372224417394,0.515708014101491,54.5603746157839
"snow",21.5221222302741,0.341107988626709,63.0947469653863
"tmax",0.164851682062407,0.00584344866545904,28.2113682347986
"distance",-0.00111872631348363,0.000218708680127183,-5.11514363688297
"dow_mod",-0.365706648145391,0.0546667707405175,-6.68974302289159
"crs_dep_time_base10",1.68610986973313,0.0240534097263792,70.0985801561426
"awnd",0.601920111381454,0.034201691597019,17.5991327702024
