"","Value","Std. Error","t value"
"(Intercept)",-26.2117162430925,0.243492928632295,-107.648778099324
"prcp",14.4234555719597,0.181892473135012,79.2966048751989
"snow",17.482709320116,0.120310280160221,145.313511836509
"tmax",0.110531772109583,0.00206100991323484,53.6299080367345
"distance",-0.000319814342072286,7.7139508475039e-05,-4.14592144018875
"dow_mod",0.0946474805045065,0.0192812092432222,4.90879380595787
"crs_dep_time_base10",0.950260667800502,0.00848374285996618,112.009602776232
"awnd",0.251051052639205,0.0120630862811421,20.8115109838572
