"","Value","Std. Error","t value"
"(Intercept)",-22.8771935836537,0.211303702481749,-108.266884654469
"prcp",8.62088098234399,0.157846690837708,54.6155319227289
"snow",12.2730730354618,0.104405527451114,117.551947057673
"tmax",0.0827015010872503,0.001788548965115,46.2394391768485
"distance",-0.00034568031094882,6.6941836216578e-05,-5.16389048293259
"dow_mod",0.190698304060231,0.0167322760636335,11.3970330954974
"crs_dep_time_base10",0.688908680715762,0.00736221083414328,93.5736148061466
"awnd",0.158600231949503,0.0104683729785492,15.1504185296504
