"","Value","Std. Error","t value"
"(Intercept)",-22.8241621673601,0.211166294849152,-108.086199000957
"prcp",8.56149610742685,0.157744045499049,54.2746071989036
"snow",12.1828761511262,0.104337634100507,116.763967825747
"tmax",0.0822501233971678,0.00178738589851373,46.0169924500139
"distance",-0.00034992788240463,6.68983049432109e-05,-5.23074362947879
"dow_mod",0.191400050739756,0.0167213953151428,11.4464162309724
"crs_dep_time_base10",0.684734291583268,0.00735742329871669,93.067132851076
"awnd",0.157781097018291,0.0104615655524074,15.0819775709365
