"","Value","Std. Error","t value"
"(Intercept)",-4.51032501825864,0.858088094933082,-5.25624938149314
"distance",-0.0035824856343194,0.000264496338846463,-13.544556608774
"dep_hr",0.68459311477229,0.0289484362022175,23.6487079989436
"awnd",-0.191634493879765,0.0587494727476535,-3.26189299949792
"prcp",16.6127327349837,1.11114539484241,14.9509981430826
"snow",16.1991301622919,0.434267008751119,37.3022353433616
"tmax",-0.131898646797922,0.0377188949070522,-3.49688523810016
"tmin",0.0130894161653056,0.0327434484466403,0.399756799795738
